,Название,Фандомы,Автор,Пейринг и персонажи,Жанр,Все теги,Теги 18+,Возрастное ограничение,Статус,Лайки,Отзывы,В сборник,Размер,Описание,Посвящение,Примечания автора,Публикация на других ресурсах,Горячая работа
0,Обречённые,['Ориджиналы'],['Демон с кружкой'],[],Джен,"['Ангст', 'Боги / Божественные сущности', 'Драббл', 'Стихи']",[],G,Завершён,46,14,10,"1 страница,
                                                1 часть","Работа по заявке.
Вся прелесть в том, что мы обречены... ",,,Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,True
1,Мальчик,['Ориджиналы'],['Ruby Raven'],[],Джен,"['Драббл', 'Романтика', 'Юмор']",[],G,Завершён,8,6,4,"7 страниц,
                                                3 части","Эта весёлая история случилась в Одессе в начале 90-х гг..

Леночка принесла в дом котёнка и тут началось...

P.S.: Юмористическая  история с одесским колоритом.
",,,Уточнять у автора/переводчика,True
2,Охотник и зверь.,['Ориджиналы'],"['MuskratUndead', 'Momoryca']",[],Джен,"['Вымышленные существа', 'Драббл', 'Мистика', 'Нестандартная поэзия', 'Стихи', 'Фэнтези', 'Элементы других видов отношений', 'Элементы ужасов']",[],PG-13,Завершён,19,3,4,"1 страница,
                                                1 часть","Много могучих звериных шкур срезал истертый нож,
Только он ищет, бессменно хмур, то, чего не найдешь.",,"Первая попытка написать нечто на блиц БМ: https://m.vk.com/wall-162619088_286287. 
 ""Намеки"" на что-то тут больше в моей голове, но черт его знает.",Разрешено копирование текста с указанием автора/переводчика и ссылки на исходную публикацию,True
3,Допрос с пристрастием,['Огонь'],['Blake Milligan'],['Максим Шустов/Роман Ильин'],Слэш,"['AU', 'AU: Все хорошо', 'Все живы / Никто не умер', 'Драббл', 'Отклонения от канона', 'Флафф']",[],G,Завершён,0,0,0,"3 страницы,
                                                1 часть","— И все ж, молодой, ты чего к Максу нашему липнешь? — гнет свое Серега, не желая отступать. — Кудри привлекают?",,,Уточнять у автора/переводчика,False
4,Последствия,['Импровизация'],['imfcnnnn'],['Арсений Попов/Антон Шастун'],Слэш,"['Драббл', 'Нецензурная лексика']",['Нецензурная лексика'],NC-17,Завершён,1,0,0,"1 страница,
                                                1 часть",что бывает после ссоры?,,,Уточнять у автора/переводчика,False
5,Ничего не предвещало беды,['Ориджиналы'],['AstraMilary'],['Ника/Клэр'],Фемслэш,"['Hurt/Comfort', 'Ангст', 'Драббл', 'Драма', 'Романтика']",[],PG-13,Завершён,0,0,0,"1 страница,
                                                1 часть","Утро, которое изменило жизнь многих людей.",,"Моя первая работа, буду благодарна за конструктивную критику.",Разрешено только в виде ссылки,False
6,реакции по sally face,['Sally Face'],['variqvsst'],[],Смешанная,"['Алкоголь', 'Драббл', 'Курение', 'Нецензурная лексика', 'ОЖП', 'Отклонения от канона', 'Частичный ООС']","['Алкоголь', 'Курение', 'Нецензурная лексика']",NC-17,В процессе,1,0,0,"планируется Мини, написано                                                4 страницы,
                                                2 части","Всем привет, я только начинаю писать фанфики, по этому не судите строго. Я решила попробовать начать с чего-нибудь более лёгкого, такого жанра как ""реакции""(или же драбблы). В этом фанфике будут описывается ситуации, и как бы отреагировали персонажи из этого фд на них.  Что ж, отрицаем канон и создаём продолжение, да тут ещё и с твоим участием! Желаю приятного прочтения и не захлебнуться в ошибках, если же они будут. 
(｡･ω･｡)ﾉ♡",,,Уточнять у автора/переводчика,False
7,Эпоха Импровизации,['Импровизация'],['Rosalind Hale'],[],Джен,"['Драббл', 'Дружба', 'Повседневность', 'Психология', 'Флафф']",[],PG-13,Завершён,0,0,0,"9 страниц,
                                                2 части",Всё когда-нибудь заканчивается... даже импровизация,,,Уточнять у автора/переводчика,False
8,Точно такой же закат,['Дух моей общаги'],['Raphy404'],['Антон Звёздочкин/Дмитрий Побрацкий'],Слэш,"['ER', 'Драббл', 'Повседневность', 'Романтика', 'Флафф']",[],PG-13,Завершён,0,0,0,"4 страницы,
                                                1 часть","Они стоят так, обнявшись, довольно долго: минуты две, наверное. Им обоим невероятно тепло и уютно, а птицы за окном всё ещё щебечут свои песни. Солнце уже спряталось где-то за домами, небо стало почти фиолетовым. Закаты всегда красивы, всегда прекрасны. И да, это был точно такой же закат.",,"Я поняла, что не могу представить, как Дима обращается к Антону (если бы они были в отношениях) ""Антон""  ;–; 
Тоха. Иначе не могу. 

А ещё я долго думала над тем, стоит ли здесь ставить метку «Постканон» и до сих пор не могу определиться. Как Вы думаете, она здесь нужна?",Уточнять у автора/переводчика,False
9,Если умирать то только вдвоем,['Måneskin'],['Твоя_Мамочка_'],['ОЖП /Виктория Де Анджелис'],Фемслэш,"['Алкоголь', 'Драббл', 'Дружба', 'Любовь/Ненависть', 'Насилие', 'Нецензурная лексика', 'ОЖП', 'Романтика', 'Упоминания наркотиков']","['Алкоголь', 'Насилие', 'Нецензурная лексика', 'Упоминания наркотиков']",NC-21,В процессе,0,0,0,"планируется Мини, написано                                                3 страницы,
                                                2 части","Девочка которая решила что всё её проблемы уйдут в месте с городом но она глубоко ошибалась, все её проблемы только начались.
Я посмотрела вверх на меня смотрела красивая девушка лет 20, блондинка среднего роста, её глаза были выделены чёрным цветом, она смотрела на меня своими голубыми глазами, с под больших чёрных ресниц.",,,Уточнять у автора/переводчика,False
